"id","name","code","account_type","reconcile"
"ve_bw_101201","Cuenta Transitoria Bancaria","101201","asset_current","True"
"ve_bw_101202","Cobros en Tránsito por Conciliar","101202","asset_current","True"
"ve_bw_101203","Pagos en Tránsito por Conciliar","101203","asset_current","True"
"ve_bw_101301","Transferencias Internas de Liquidez","101301","asset_current","True"
"ve_bw_101401","BANCAMIGA (VES)","101401","asset_cash","False"
"ve_bw_101406","CBSL Cobros Bs por Liquidar","101406","asset_cash","False"
"ve_bw_101407","Zelle (USD)","101407","asset_cash","False"
"ve_bw_101408","BANCO DE VENEZUELA (VES)","101408","asset_cash","False"
"ve_bw_101409","USDT","101409","asset_cash","False"
"ve_bw_101501","EFECTIVO USD","101501","asset_cash","False"
"ve_bw_101502","EFECTIVO VES","101502","asset_cash","False"
"ve_bw_101503","Caja Chica","101503","asset_cash","False"
"ve_bw_110101","Cuentas por Cobrar Clientes","110101","asset_receivable","True"
"ve_bw_110102","Cuentas por Cobrar Punto de Venta","110102","asset_receivable","True"
"ve_bw_110103","Efectos por Cobrar","110103","asset_receivable","True"
"ve_bw_110104","Provisión para Cuentas Incobrables","110104","asset_current","False"
"ve_bw_110201","Anticipos a Proveedores","110201","asset_current","True"
"ve_bw_110202","Cuentas por Cobrar Empleados","110202","asset_current","True"
"ve_bw_110203","Cuentas por Cobrar Accionistas y Relacionadas","110203","asset_current","True"
"ve_bw_110204","Otras Cuentas por Cobrar","110204","asset_current","False"
"ve_bw_110301","IVA Crédito Fiscal","110301","asset_current","False"
"ve_bw_110302","Retenciones de IVA Recibidas de Clientes","110302","asset_current","False"
"ve_bw_110303","ISLR Retenido por Clientes","110303","asset_current","False"
"ve_bw_110304","Anticipos Pagados de ISLR","110304","asset_current","False"
"ve_bw_110305","Otros Créditos Fiscales","110305","asset_current","False"
"ve_bw_120101","Inventarios","120101","asset_current","False"
"ve_bw_120503","Costos de Producción en Proceso","120503","asset_current","False"
"ve_bw_130101","Gastos Pagados por Anticipado","130101","asset_prepayments","False"
"ve_bw_150101","Terrenos","150101","asset_fixed","False"
"ve_bw_150102","Edificaciones","150102","asset_fixed","False"
"ve_bw_150103","Mejoras a Propiedades Arrendadas","150103","asset_fixed","False"
"ve_bw_150104","Maquinaria y Equipos","150104","asset_fixed","False"
"ve_bw_150105","Mobiliario y Enseres","150105","asset_fixed","False"
"ve_bw_150106","Equipos de Computación y Comunicación","150106","asset_fixed","False"
"ve_bw_150107","Vehículos","150107","asset_fixed","False"
"ve_bw_150108","Construcciones y Montajes en Proceso","150108","asset_fixed","False"
"ve_bw_150201","Depreciación Acumulada Edificaciones","150201","asset_fixed","False"
"ve_bw_150202","Depreciación Acumulada Mejoras a Propiedades Arrendadas","150202","asset_fixed","False"
"ve_bw_150203","Depreciación Acumulada Maquinaria y Equipos","150203","asset_fixed","False"
"ve_bw_150204","Depreciación Acumulada Mobiliario y Enseres","150204","asset_fixed","False"
"ve_bw_150205","Depreciación Acumulada Equipos de Computación y Comunicación","150205","asset_fixed","False"
"ve_bw_150206","Depreciación Acumulada Vehículos","150206","asset_fixed","False"
"ve_bw_160101","Software y Licencias Adquiridas","160101","asset_non_current","False"
"ve_bw_160102","Amortización Acumulada de Intangibles","160102","asset_non_current","False"
"ve_bw_170101","Fideicomiso de Prestaciones Sociales","170101","asset_non_current","False"
"ve_bw_170102","Depósitos en Garantía","170102","asset_non_current","False"
"ve_bw_210101","Cuentas por Pagar Proveedores","210101","liability_payable","True"
"ve_bw_210103","Efectos por Pagar","210103","liability_current","False"
"ve_bw_210201","Anticipos Recibidos de Clientes","210201","liability_current","True"
"ve_bw_210301","IVA Débito Fiscal","210301","liability_current","False"
"ve_bw_210302","IVA por Pagar (Cuota Tributaria)","210302","liability_current","False"
"ve_bw_210303","Retenciones de IVA por Enterar","210303","liability_current","False"
"ve_bw_210304","IGTF Percibido por Enterar","210304","liability_current","False"
"ve_bw_210401","Retenciones de ISLR por Enterar","210401","liability_current","False"
"ve_bw_210402","ISLR por Pagar","210402","liability_current","False"
"ve_bw_210403","Impuesto Municipal por Pagar","210403","liability_current","False"
"ve_bw_210404","Otros Impuestos y Contribuciones por Pagar","210404","liability_current","False"
"ve_bw_210501","Sueldos y Salarios por Pagar","210501","liability_current","True"
"ve_bw_210502","Cesta Ticket por Pagar","210502","liability_current","False"
"ve_bw_210503","IVSS por Pagar","210503","liability_current","False"
"ve_bw_210504","FAOV por Pagar","210504","liability_current","False"
"ve_bw_210505","RPE (Paro Forzoso) por Pagar","210505","liability_current","False"
"ve_bw_210506","INCES por Pagar","210506","liability_current","False"
"ve_bw_210507","Retención ISLR Empleados (AR-I) por Pagar","210507","liability_current","False"
"ve_bw_210508","Liquidaciones por Pagar","210508","liability_current","False"
"ve_bw_210509","Propinas y Porcentaje de Servicio por Pagar","210509","liability_current","False"
"ve_bw_210510","Contribución Especial de Pensiones por Pagar","210510","liability_current","False"
"ve_bw_210601","Provisión para Utilidades","210601","liability_current","False"
"ve_bw_210602","Provisión para Vacaciones","210602","liability_current","False"
"ve_bw_210603","Provisión para Bono Vacacional","210603","liability_current","False"
"ve_bw_210701","Cuentas por Pagar Accionistas y Relacionadas","210701","liability_current","True"
"ve_bw_210702","Dividendos por Pagar","210702","liability_current","False"
"ve_bw_210703","Tarjetas de Crédito por Pagar","210703","liability_credit_card","False"
"ve_bw_210704","Otras Cuentas por Pagar","210704","liability_current","False"
"ve_bw_210801","Préstamos Bancarios a Corto Plazo","210801","liability_current","False"
"ve_bw_210802","Porción Corriente de Préstamos a Largo Plazo","210802","liability_current","False"
"ve_bw_220101","Provisión para Prestaciones Sociales (Garantía)","220101","liability_non_current","False"
"ve_bw_220102","Provisión para Intereses sobre Prestaciones Sociales","220102","liability_non_current","False"
"ve_bw_220201","Préstamos Bancarios a Largo Plazo","220201","liability_non_current","False"
"ve_bw_220202","Cuentas por Pagar Accionistas a Largo Plazo","220202","liability_non_current","False"
"ve_bw_310101","Capital Social","310101","equity","False"
"ve_bw_310102","Aportes por Capitalizar","310102","equity","False"
