"id","name","code_prefix_start","code_prefix_end"
"ve_bw_group_1","ACTIVO","1","1"
"ve_bw_group_10","Efectivo y Equivalentes","10","10"
"ve_bw_group_1012","Fondos por Conciliar","1012","1012"
"ve_bw_group_1013","Fondos en Tránsito","1013","1013"
"ve_bw_group_1014","Bancos e Instituciones Financieras","1014","1014"
"ve_bw_group_1015","Efectivo en Caja","1015","1015"
"ve_bw_group_11","Activo Exigible","11","11"
"ve_bw_group_1101","Cuentas por Cobrar Comerciales","1101","1101"
"ve_bw_group_1102","Otras Cuentas por Cobrar","1102","1102"
"ve_bw_group_1103","Créditos y Anticipos Fiscales","1103","1103"
"ve_bw_group_12","Inventarios","12","12"
"ve_bw_group_1201","Inventarios","1201","1201"
"ve_bw_group_1205","Cuentas Transitorias de Inventario","1205","1205"
"ve_bw_group_13","Pagos Anticipados","13","13"
"ve_bw_group_1301","Gastos Pagados por Anticipado","1301","1301"
"ve_bw_group_15","Propiedad, Planta y Equipo","15","15"
"ve_bw_group_1501","Propiedad, Planta y Equipo al Costo","1501","1501"
"ve_bw_group_1502","Depreciación Acumulada","1502","1502"
"ve_bw_group_16","Intangibles","16","16"
"ve_bw_group_1601","Activos Intangibles","1601","1601"
"ve_bw_group_17","Otros Activos No Corrientes","17","17"
"ve_bw_group_1701","Otros Activos No Corrientes","1701","1701"
"ve_bw_group_2","PASIVO","2","2"
"ve_bw_group_21","Pasivo Corriente","21","21"
"ve_bw_group_2101","Cuentas por Pagar Comerciales","2101","2101"
"ve_bw_group_2102","Anticipos de Clientes","2102","2102"
"ve_bw_group_2103","Obligaciones Fiscales — IVA e IGTF","2103","2103"
"ve_bw_group_2104","Obligaciones Fiscales — ISLR y Otros","2104","2104"
"ve_bw_group_2105","Obligaciones Laborales y Parafiscales","2105","2105"
"ve_bw_group_2106","Provisiones Laborales Corrientes","2106","2106"
"ve_bw_group_2107","Otras Cuentas por Pagar","2107","2107"
"ve_bw_group_2108","Obligaciones Financieras a Corto Plazo","2108","2108"
"ve_bw_group_22","Pasivo No Corriente","22","22"
"ve_bw_group_2201","Provisiones Laborales a Largo Plazo (LOTTT)","2201","2201"
"ve_bw_group_2202","Obligaciones Financieras a Largo Plazo","2202","2202"
"ve_bw_group_3","PATRIMONIO","3","3"
"ve_bw_group_31","Capital","31","31"
"ve_bw_group_3101","Capital","3101","3101"
"ve_bw_group_32","Reservas","32","32"
"ve_bw_group_3201","Reservas","3201","3201"
"ve_bw_group_33","Resultados","33","33"
"ve_bw_group_3301","Resultados","3301","3301"
"ve_bw_group_4","INGRESOS","4","4"
"ve_bw_group_41","Ventas","41","41"
"ve_bw_group_4101","Ventas","4101","4101"
"ve_bw_group_42","Devoluciones y Descuentos","42","42"
"ve_bw_group_4201","Devoluciones y Descuentos","4201","4201"
"ve_bw_group_43","Ingresos No Operacionales","43","43"
"ve_bw_group_4301","Ingresos No Operacionales","4301","4301"
"ve_bw_group_5","COSTOS","5","5"
"ve_bw_group_51","Costo de Ventas","51","51"
"ve_bw_group_5101","Costo de Ventas","5101","5101"
"ve_bw_group_52","Mermas","52","52"
"ve_bw_group_5201","Mermas","5201","5201"
"ve_bw_group_53","Variaciones","53","53"
"ve_bw_group_5301","Variaciones","5301","5301"
"ve_bw_group_6","GASTOS","6","6"
"ve_bw_group_61","Gastos de Personal","61","61"
"ve_bw_group_6101","Remuneraciones al Personal","6101","6101"
"ve_bw_group_6102","Beneficios al Personal","6102","6102"
"ve_bw_group_6103","Aportes Patronales y Parafiscales","6103","6103"
"ve_bw_group_6104","Provisiones y Prestaciones Laborales","6104","6104"
"ve_bw_group_62","Ocupación y Mantenimiento","62","62"
"ve_bw_group_6201","Ocupación y Servicios Básicos","6201","6201"
"ve_bw_group_6202","Mantenimiento y Reparaciones","6202","6202"
"ve_bw_group_63","Mercadeo","63","63"
"ve_bw_group_6301","Publicidad y Mercadeo","6301","6301"
"ve_bw_group_64","Servicios Profesionales","64","64"
"ve_bw_group_6401","Servicios Profesionales y Contratados","6401","6401"
"ve_bw_group_65","Gastos Financieros","65","65"
"ve_bw_group_6501","Gastos Financieros","6501","6501"
"ve_bw_group_66","Tributos","66","66"
"ve_bw_group_6601","Impuestos y Contribuciones","6601","6601"
"ve_bw_group_6602","Impuesto sobre la Renta","6602","6602"
"ve_bw_group_67","Depreciación y Amortización","67","67"
"ve_bw_group_6701","Depreciación, Amortización y Deterioro","6701","6701"
"ve_bw_group_68","Otros Gastos","68","68"
"ve_bw_group_6801","Gastos Generales de Operación","6801","6801"
"ve_bw_group_6802","Multas, Sanciones y Donaciones","6802","6802"
