"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"ve_bw_tax_iva16_sale","IVA 16% (Ventas)","IVA 16% ventas","IVA 16%","16.0","percent","sale","ve_bw_tax_group_iva_16","base","invoice",""
"","","","","","","","","tax","invoice","ve_bw_210301"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","ve_bw_210301"
"ve_bw_tax_iva8_sale","IVA 8% (Ventas)","IVA 8% ventas","IVA 8%","8.0","percent","sale","ve_bw_tax_group_iva_8","base","invoice",""
"","","","","","","","","tax","invoice","ve_bw_210301"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","ve_bw_210301"
"ve_bw_tax_iva31_sale","IVA 31% (Ventas)","IVA 31% ventas","IVA 31%","31.0","percent","sale","ve_bw_tax_group_iva_31","base","invoice",""
"","","","","","","","","tax","invoice","ve_bw_210301"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","ve_bw_210301"
"ve_bw_tax_iva0_export_sale","IVA 0% Exportación (Ventas)","IVA 0% exportación ventas","IVA 0%","0.0","percent","sale","ve_bw_tax_group_iva_0","base","invoice",""
"","","","","","","","","tax","invoice",""
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund",""
"ve_bw_tax_exento_sale","Exento (Ventas)","Exento ventas","Exento","0.0","percent","sale","ve_bw_tax_group_exento","base","invoice",""
"","","","","","","","","tax","invoice",""
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund",""
"ve_bw_tax_iva16_purchase","IVA 16% (Compras)","IVA 16% compras","IVA 16%","16.0","percent","purchase","ve_bw_tax_group_iva_16","base","invoice",""
"","","","","","","","","tax","invoice","ve_bw_110301"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","ve_bw_110301"
"ve_bw_tax_iva8_purchase","IVA 8% (Compras)","IVA 8% compras","IVA 8%","8.0","percent","purchase","ve_bw_tax_group_iva_8","base","invoice",""
"","","","","","","","","tax","invoice","ve_bw_110301"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","ve_bw_110301"
"ve_bw_tax_iva31_purchase","IVA 31% (Compras)","IVA 31% compras","IVA 31%","31.0","percent","purchase","ve_bw_tax_group_iva_31","base","invoice",""
"","","","","","","","","tax","invoice","ve_bw_110301"
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund","ve_bw_110301"
"ve_bw_tax_exento_purchase","Exento (Compras)","Exento compras","Exento","0.0","percent","purchase","ve_bw_tax_group_exento","base","invoice",""
"","","","","","","","","tax","invoice",""
"","","","","","","","","base","refund",""
"","","","","","","","","tax","refund",""
